id_usuario,nome_completo,username,password,role,rg,cpf,id_curso,campus,validade,path_foto
1,Sr. Cauê Alves,sr.1,123,Aluno,524738609,438.957.102-88,1.0,Tatuapé,12/2026,fotos/1.jpg
2,Thomas Marques,thomas2,123,Aluno,806572346,671.290.354-80,1.0,Paulista,12/2028,fotos/2.jpg
3,Diego Nogueira,diego3,123,Aluno,087435160,768.095.134-93,1.0,Berrini,12/2028,fotos/3.jpg
4,Nicolas Souza,nicolas4,123,Aluno,631504825,561.380.724-80,1.0,Berrini,12/2026,fotos/4.jpg
5,Pedro Henrique Araújo,pedro5,123,Aluno,321056784,174.856.902-30,1.0,Marquês,12/2026,fotos/5.jpg
6,Otto Brito,otto6,123,Aluno,051876437,590.623.814-05,1.0,Paulista,12/2026,fotos/6.jpg
7,Mateus Nascimento,mateus7,123,Aluno,307584616,154.390.682-60,1.0,Marquês,12/2029,fotos/7.jpg
8,Srta. Maria Laura Fernandes,srta.8,123,Aluno,326547083,941.025.387-04,1.0,Marquês,12/2029,fotos/8.jpg
9,Diego Nascimento,diego9,123,Aluno,357084123,849.236.751-28,1.0,Marquês,12/2027,fotos/9.jpg
10,Manuella Gomes,manuella10,123,Aluno,408572310,639.724.518-73,1.0,Berrini,12/2029,fotos/10.jpg
11,Enrico Rezende,enrico11,123,Aluno,174053861,025.439.817-05,1.0,Berrini,12/2027,fotos/11.jpg
12,Mathias Gomes,mathias12,123,Aluno,380712453,310.467.285-71,1.0,Berrini,12/2029,fotos/12.jpg
13,Sr. Davi Lucca da Mata,sr.13,123,Aluno,178364502,581.376.209-40,1.0,Berrini,12/2028,fotos/13.jpg
14,Sr. Arthur Gabriel Mendonça,sr.14,123,Aluno,685107322,096.254.871-58,1.0,Marquês,12/2029,fotos/14.jpg
15,Raul Oliveira,raul15,123,Aluno,147625385,248.619.357-09,1.0,Tatuapé,12/2027,fotos/15.jpg
16,Emilly Fogaça,emilly16,123,Aluno,156408739,476.183.250-90,1.0,Pinheiros,12/2027,fotos/16.jpg
17,Sara da Cunha,sara17,123,Aluno,567132043,147.836.259-64,1.0,Paulista,12/2029,fotos/17.jpg
18,Thomas Nogueira,thomas18,123,Aluno,173826052,790.648.352-92,1.0,Tatuapé,12/2026,fotos/18.jpg
19,Dr. Dante Jesus,dr.19,123,Aluno,281056730,425.376.980-29,1.0,Marquês,12/2029,fotos/19.jpg
20,Liz Rodrigues,liz20,123,Aluno,53862470X,463.792.510-06,1.0,Tatuapé,12/2029,fotos/20.jpg
21,Laura Garcia,laura21,123,Aluno,058742633,593.612.874-19,1.0,Marquês,12/2026,fotos/21.jpg
22,Ana Câmara,ana22,123,Aluno,814273051,453.968.072-29,1.0,Marquês,12/2028,fotos/22.jpg
23,Rafael Machado,rafael23,123,Aluno,416072586,287.906.431-78,1.0,Berrini,12/2028,fotos/23.jpg
24,Stephany Aparecida,stephany24,123,Aluno,483126755,786.950.241-30,1.0,Marquês,12/2028,fotos/24.jpg
